season,model_id,horizon,n,n_relative,truth_as_of,wis,ae_median,wis__log,ae_median__log,wis_scaled_relative_skill,wis_scaled_relative_skill__log,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95
2023-24,UMass-flusion,0,1589,1589,2026-07-09,29.521960,43.973098,0.176714,0.270657,0.669442,0.752574,0.746350,0.547514,0.945249
2023-24,prime-radiant-ensemble,0,1590,1589,2026-07-09,32.859742,47.304403,0.186103,0.282520,0.743460,0.789825,0.801495,0.393082,0.950943
2023-24,FluSight-ensemble,0,1590,1589,2026-07-09,33.388004,53.221959,0.178304,0.276510,0.756073,0.758049,0.902560,0.550314,0.945912
2023-24,prime-radiant-lgbm,0,1590,1589,2026-07-09,38.712849,59.435220,0.195432,0.305622,0.876188,0.829636,1.007595,0.430818,0.903145
2023-24,prime-radiant-baseline,0,1590,1589,2026-07-09,43.394297,59.011321,0.230079,0.320880,0.982507,0.976906,1.000235,0.243396,0.937736
2023-24,FluSight-baseline,0,1590,1589,2026-07-09,44.167033,58.997484,0.235506,0.327996,1.000000,1.000000,1.000000,0.264151,0.911321
2023-24,UMass-flusion,1,1589,1589,2026-07-09,44.771021,68.467758,0.237776,0.364034,0.604231,0.675595,0.671941,0.543738,0.957835
2023-24,prime-radiant-ensemble,1,1590,1589,2026-07-09,54.728121,78.058491,0.269043,0.403791,0.737062,0.762329,0.764835,0.428302,0.922013
2023-24,FluSight-ensemble,1,1590,1589,2026-07-09,55.133108,86.946502,0.258796,0.398366,0.742981,0.734235,0.852534,0.502516,0.928302
2023-24,prime-radiant-lgbm,1,1590,1589,2026-07-09,68.363146,106.506918,0.307297,0.476662,0.921091,0.871056,1.044259,0.368553,0.859119
2023-24,prime-radiant-baseline,1,1590,1589,2026-07-09,72.568930,102.147170,0.346713,0.498730,0.978097,0.982976,1.001328,0.303145,0.923270
2023-24,FluSight-baseline,1,1590,1589,2026-07-09,74.194539,102.011949,0.352721,0.499923,1.000000,1.000000,1.000000,0.286164,0.908805
2023-24,FluSight-baseline,2,1588,1587,2026-07-09,100.097455,141.287783,0.473345,0.692267,1.000000,1.000000,1.000000,0.280227,0.886650
2023-24,UMass-flusion,2,1587,1587,2026-07-09,55.941021,87.482632,0.295065,0.455470,0.560143,0.624700,0.620258,0.572779,0.975425
2023-24,prime-radiant-ensemble,2,1588,1587,2026-07-09,71.901124,102.105793,0.347961,0.521847,0.717437,0.734608,0.722080,0.448992,0.903023
2023-24,FluSight-ensemble,2,1588,1587,2026-07-09,73.235092,115.509892,0.341639,0.527255,0.731230,0.722058,0.817485,0.448363,0.914987
2023-24,prime-radiant-lgbm,2,1588,1587,2026-07-09,89.366540,135.983627,0.406497,0.620995,0.892329,0.858577,0.962486,0.333753,0.803526
2023-24,prime-radiant-baseline,2,1588,1587,2026-07-09,97.659395,141.455290,0.467360,0.693398,0.975619,0.987382,1.001188,0.325567,0.899874
2023-24,prime-radiant-baseline,3,1586,1585,2026-07-09,118.417170,175.905422,0.571911,0.870599,0.971680,0.989459,1.000755,0.353090,0.891551
2023-24,FluSight-baseline,3,1586,1585,2026-07-09,121.865026,175.773014,0.578026,0.870476,1.000000,1.000000,1.000000,0.296343,0.879571
2023-24,UMass-flusion,3,1585,1585,2026-07-09,62.953309,98.304943,0.337858,0.520392,0.517675,0.585535,0.560143,0.613249,0.977287
2023-24,prime-radiant-ensemble,3,1586,1585,2026-07-09,84.363491,121.558008,0.422735,0.639359,0.691360,0.730918,0.690934,0.416141,0.858134
2023-24,FluSight-ensemble,3,1586,1585,2026-07-09,86.670486,136.593182,0.416533,0.647057,0.710919,0.721050,0.776966,0.450820,0.889660
2023-24,prime-radiant-lgbm,3,1586,1585,2026-07-09,89.886644,131.740227,0.451232,0.651040,0.736690,0.780256,0.749036,0.341110,0.757251
2023-24,UMass-flusion,all,6350,6350,2026-07-09,48.285188,74.538078,0.261795,0.402547,0.568796,0.640242,0.624813,0.569291,0.963937
2023-24,prime-radiant-ensemble,all,6354,6350,2026-07-09,60.944946,87.230406,0.306374,0.461749,0.715782,0.747213,0.729596,0.421624,0.908562
2023-24,FluSight-ensemble,all,6354,6350,2026-07-09,62.087706,98.038141,0.298730,0.462160,0.729763,0.729498,0.820612,0.488039,0.919736
2023-24,prime-radiant-lgbm,all,6354,6350,2026-07-09,71.565174,108.393138,0.340024,0.513459,0.840861,0.829519,0.907159,0.368587,0.830815
2023-24,prime-radiant-baseline,all,6354,6350,2026-07-09,82.983047,119.587504,0.403890,0.595698,0.975647,0.985659,1.000941,0.306264,0.913126
2023-24,FluSight-baseline,all,6354,6350,2026-07-09,85.053130,119.475291,0.409773,0.597464,1.000000,1.000000,1.000000,0.281712,0.896601
