horizon,nominal,empirical,n
0,0.100000,0.133851,4505
0,0.200000,0.205105,4505
0,0.300000,0.277026,4505
0,0.400000,0.341176,4505
0,0.500000,0.413319,4505
0,0.600000,0.493230,4505
0,0.700000,0.580466,4505
0,0.800000,0.674362,4505
0,0.900000,0.784462,4505
0,0.950000,0.852386,4505
0,0.980000,0.916981,4505
1,0.100000,0.111210,4505
1,0.200000,0.168923,4505
1,0.300000,0.231299,4505
1,0.400000,0.304329,4505
1,0.500000,0.384906,4505
1,0.600000,0.461709,4505
1,0.700000,0.549834,4505
1,0.800000,0.643285,4505
1,0.900000,0.750277,4505
1,0.950000,0.826193,4505
1,0.980000,0.881465,4505
2,0.100000,0.101932,4503
2,0.200000,0.158561,4503
2,0.300000,0.220076,4503
2,0.400000,0.292472,4503
2,0.500000,0.356873,4503
2,0.600000,0.434821,4503
2,0.700000,0.525427,4503
2,0.800000,0.617144,4503
2,0.900000,0.717300,4503
2,0.950000,0.793249,4503
2,0.980000,0.856096,4503
3,0.100000,0.093535,4501
3,0.200000,0.146856,4501
3,0.300000,0.205066,4501
3,0.400000,0.261942,4501
3,0.500000,0.318374,4501
3,0.600000,0.388136,4501
3,0.700000,0.459898,4501
3,0.800000,0.546767,4501
3,0.900000,0.640969,4501
3,0.950000,0.716730,4501
3,0.980000,0.787381,4501
