model,season,nominal,empirical,n
FluSight-baseline,2023-24,0.100000,0.058546,6354
FluSight-baseline,2023-24,0.200000,0.106704,6354
FluSight-baseline,2023-24,0.300000,0.158483,6354
FluSight-baseline,2023-24,0.400000,0.215927,6354
FluSight-baseline,2023-24,0.500000,0.281712,6354
FluSight-baseline,2023-24,0.600000,0.371262,6354
FluSight-baseline,2023-24,0.700000,0.480013,6354
FluSight-baseline,2023-24,0.800000,0.630626,6354
FluSight-baseline,2023-24,0.900000,0.814920,6354
FluSight-baseline,2023-24,0.950000,0.896601,6354
FluSight-baseline,2023-24,0.980000,0.934372,6354
FluSight-baseline,2024-25,0.100000,0.086303,5724
FluSight-baseline,2024-25,0.200000,0.142383,5724
FluSight-baseline,2024-25,0.300000,0.200035,5724
FluSight-baseline,2024-25,0.400000,0.258735,5724
FluSight-baseline,2024-25,0.500000,0.316562,5724
FluSight-baseline,2024-25,0.600000,0.376136,5724
FluSight-baseline,2024-25,0.700000,0.447240,5724
FluSight-baseline,2024-25,0.800000,0.536338,5724
FluSight-baseline,2024-25,0.900000,0.644829,5724
FluSight-baseline,2024-25,0.950000,0.718903,5724
FluSight-baseline,2024-25,0.980000,0.778477,5724
FluSight-baseline,2025-26,0.100000,0.132412,5936
FluSight-baseline,2025-26,0.200000,0.221024,5936
FluSight-baseline,2025-26,0.300000,0.293295,5936
FluSight-baseline,2025-26,0.400000,0.362365,5936
FluSight-baseline,2025-26,0.500000,0.433457,5936
FluSight-baseline,2025-26,0.600000,0.520889,5936
FluSight-baseline,2025-26,0.700000,0.616914,5936
FluSight-baseline,2025-26,0.800000,0.725741,5936
FluSight-baseline,2025-26,0.900000,0.816880,5936
FluSight-baseline,2025-26,0.950000,0.864218,5936
FluSight-baseline,2025-26,0.980000,0.894710,5936
FluSight-ensemble,2023-24,0.100000,0.109537,6354
FluSight-ensemble,2023-24,0.200000,0.213251,6354
FluSight-ensemble,2023-24,0.300000,0.307523,6354
FluSight-ensemble,2023-24,0.400000,0.395027,6354
FluSight-ensemble,2023-24,0.500000,0.488039,6354
FluSight-ensemble,2023-24,0.600000,0.576959,6354
FluSight-ensemble,2023-24,0.700000,0.670601,6354
FluSight-ensemble,2023-24,0.800000,0.765502,6354
FluSight-ensemble,2023-24,0.900000,0.864810,6354
FluSight-ensemble,2023-24,0.950000,0.919736,6354
FluSight-ensemble,2023-24,0.980000,0.958294,6354
FluSight-ensemble,2024-25,0.100000,0.165618,5724
FluSight-ensemble,2024-25,0.200000,0.271663,5724
FluSight-ensemble,2024-25,0.300000,0.360936,5724
FluSight-ensemble,2024-25,0.400000,0.440950,5724
FluSight-ensemble,2024-25,0.500000,0.519043,5724
FluSight-ensemble,2024-25,0.600000,0.587002,5724
FluSight-ensemble,2024-25,0.700000,0.649546,5724
FluSight-ensemble,2024-25,0.800000,0.712264,5724
FluSight-ensemble,2024-25,0.900000,0.777778,5724
FluSight-ensemble,2024-25,0.950000,0.817785,5724
FluSight-ensemble,2024-25,0.980000,0.854472,5724
FluSight-ensemble,2025-26,0.100000,0.158524,5936
FluSight-ensemble,2025-26,0.200000,0.254380,5936
FluSight-ensemble,2025-26,0.300000,0.351078,5936
FluSight-ensemble,2025-26,0.400000,0.435478,5936
FluSight-ensemble,2025-26,0.500000,0.526280,5936
FluSight-ensemble,2025-26,0.600000,0.608322,5936
FluSight-ensemble,2025-26,0.700000,0.693565,5936
FluSight-ensemble,2025-26,0.800000,0.777628,5936
FluSight-ensemble,2025-26,0.900000,0.859333,5936
FluSight-ensemble,2025-26,0.950000,0.903470,5936
FluSight-ensemble,2025-26,0.980000,0.939858,5936
UMass-flusion,2023-24,0.100000,0.121732,6350
UMass-flusion,2023-24,0.200000,0.245827,6350
UMass-flusion,2023-24,0.300000,0.355906,6350
UMass-flusion,2023-24,0.400000,0.463150,6350
UMass-flusion,2023-24,0.500000,0.569291,6350
UMass-flusion,2023-24,0.600000,0.669291,6350
UMass-flusion,2023-24,0.700000,0.763307,6350
UMass-flusion,2023-24,0.800000,0.845512,6350
UMass-flusion,2023-24,0.900000,0.917323,6350
UMass-flusion,2023-24,0.950000,0.963937,6350
UMass-flusion,2023-24,0.980000,0.987717,6350
UMass-flusion,2024-25,0.100000,0.086672,5492
UMass-flusion,2024-25,0.200000,0.166060,5492
UMass-flusion,2024-25,0.300000,0.240532,5492
UMass-flusion,2024-25,0.400000,0.317735,5492
UMass-flusion,2024-25,0.500000,0.397487,5492
UMass-flusion,2024-25,0.600000,0.479971,5492
UMass-flusion,2024-25,0.700000,0.567735,5492
UMass-flusion,2024-25,0.800000,0.659687,5492
UMass-flusion,2024-25,0.900000,0.759468,5492
UMass-flusion,2024-25,0.950000,0.819738,5492
UMass-flusion,2024-25,0.980000,0.870903,5492
UMass-flusion,2025-26,0.100000,0.070929,5724
UMass-flusion,2025-26,0.200000,0.142034,5724
UMass-flusion,2025-26,0.300000,0.208770,5724
UMass-flusion,2025-26,0.400000,0.283019,5724
UMass-flusion,2025-26,0.500000,0.352551,5724
UMass-flusion,2025-26,0.600000,0.427498,5724
UMass-flusion,2025-26,0.700000,0.518344,5724
UMass-flusion,2025-26,0.800000,0.627883,5724
UMass-flusion,2025-26,0.900000,0.741964,5724
UMass-flusion,2025-26,0.950000,0.822676,5724
UMass-flusion,2025-26,0.980000,0.893256,5724
prime-radiant-baseline,2023-24,0.100000,0.064054,6354
prime-radiant-baseline,2023-24,0.200000,0.107334,6354
prime-radiant-baseline,2023-24,0.300000,0.157066,6354
prime-radiant-baseline,2023-24,0.400000,0.222222,6354
prime-radiant-baseline,2023-24,0.500000,0.306264,6354
prime-radiant-baseline,2023-24,0.600000,0.407775,6354
prime-radiant-baseline,2023-24,0.700000,0.544224,6354
prime-radiant-baseline,2023-24,0.800000,0.700661,6354
prime-radiant-baseline,2023-24,0.900000,0.853793,6354
prime-radiant-baseline,2023-24,0.950000,0.913126,6354
prime-radiant-baseline,2023-24,0.980000,0.944759,6354
prime-radiant-baseline,2024-25,0.100000,0.086303,5724
prime-radiant-baseline,2024-25,0.200000,0.141335,5724
prime-radiant-baseline,2024-25,0.300000,0.200035,5724
prime-radiant-baseline,2024-25,0.400000,0.255940,5724
prime-radiant-baseline,2024-25,0.500000,0.313767,5724
prime-radiant-baseline,2024-25,0.600000,0.371593,5724
prime-radiant-baseline,2024-25,0.700000,0.440426,5724
prime-radiant-baseline,2024-25,0.800000,0.528651,5724
prime-radiant-baseline,2024-25,0.900000,0.635395,5724
prime-radiant-baseline,2024-25,0.950000,0.704752,5724
prime-radiant-baseline,2024-25,0.980000,0.760657,5724
prime-radiant-baseline,2025-26,0.100000,0.132749,5936
prime-radiant-baseline,2025-26,0.200000,0.221867,5936
prime-radiant-baseline,2025-26,0.300000,0.294137,5936
prime-radiant-baseline,2025-26,0.400000,0.362702,5936
prime-radiant-baseline,2025-26,0.500000,0.433457,5936
prime-radiant-baseline,2025-26,0.600000,0.520553,5936
prime-radiant-baseline,2025-26,0.700000,0.617588,5936
prime-radiant-baseline,2025-26,0.800000,0.725910,5936
prime-radiant-baseline,2025-26,0.900000,0.817049,5936
prime-radiant-baseline,2025-26,0.950000,0.864050,5936
prime-radiant-baseline,2025-26,0.980000,0.894710,5936
prime-radiant-ensemble,2023-24,0.100000,0.118193,6354
prime-radiant-ensemble,2023-24,0.200000,0.184293,6354
prime-radiant-ensemble,2023-24,0.300000,0.254013,6354
prime-radiant-ensemble,2023-24,0.400000,0.336638,6354
prime-radiant-ensemble,2023-24,0.500000,0.421624,6354
prime-radiant-ensemble,2023-24,0.600000,0.519201,6354
prime-radiant-ensemble,2023-24,0.700000,0.623072,6354
prime-radiant-ensemble,2023-24,0.800000,0.740006,6354
prime-radiant-ensemble,2023-24,0.900000,0.859459,6354
prime-radiant-ensemble,2023-24,0.950000,0.908562,6354
prime-radiant-ensemble,2023-24,0.980000,0.940825,6354
prime-radiant-ensemble,2024-25,0.100000,0.114780,5724
prime-radiant-ensemble,2024-25,0.200000,0.183788,5724
prime-radiant-ensemble,2024-25,0.300000,0.248602,5724
prime-radiant-ensemble,2024-25,0.400000,0.308700,5724
prime-radiant-ensemble,2024-25,0.500000,0.371419,5724
prime-radiant-ensemble,2024-25,0.600000,0.432914,5724
prime-radiant-ensemble,2024-25,0.700000,0.507163,5724
prime-radiant-ensemble,2024-25,0.800000,0.589623,5724
prime-radiant-ensemble,2024-25,0.900000,0.678721,5724
prime-radiant-ensemble,2024-25,0.950000,0.743885,5724
prime-radiant-ensemble,2024-25,0.980000,0.800664,5724
prime-radiant-ensemble,2025-26,0.100000,0.150775,5936
prime-radiant-ensemble,2025-26,0.200000,0.238544,5936
prime-radiant-ensemble,2025-26,0.300000,0.313005,5936
prime-radiant-ensemble,2025-26,0.400000,0.386456,5936
prime-radiant-ensemble,2025-26,0.500000,0.464454,5936
prime-radiant-ensemble,2025-26,0.600000,0.544474,5936
prime-radiant-ensemble,2025-26,0.700000,0.639488,5936
prime-radiant-ensemble,2025-26,0.800000,0.739050,5936
prime-radiant-ensemble,2025-26,0.900000,0.830357,5936
prime-radiant-ensemble,2025-26,0.950000,0.879549,5936
prime-radiant-ensemble,2025-26,0.980000,0.913410,5936
prime-radiant-lgbm,2023-24,0.100000,0.097576,6354
prime-radiant-lgbm,2023-24,0.200000,0.157381,6354
prime-radiant-lgbm,2023-24,0.300000,0.225685,6354
prime-radiant-lgbm,2023-24,0.400000,0.293673,6354
prime-radiant-lgbm,2023-24,0.500000,0.368587,6354
prime-radiant-lgbm,2023-24,0.600000,0.453100,6354
prime-radiant-lgbm,2023-24,0.700000,0.549260,6354
prime-radiant-lgbm,2023-24,0.800000,0.644319,6354
prime-radiant-lgbm,2023-24,0.900000,0.763613,6354
prime-radiant-lgbm,2023-24,0.950000,0.830815,6354
prime-radiant-lgbm,2023-24,0.980000,0.894240,6354
prime-radiant-lgbm,2024-25,0.100000,0.107792,5724
prime-radiant-lgbm,2024-25,0.200000,0.161426,5724
prime-radiant-lgbm,2024-25,0.300000,0.216457,5724
prime-radiant-lgbm,2024-25,0.400000,0.276555,5724
prime-radiant-lgbm,2024-25,0.500000,0.337876,5724
prime-radiant-lgbm,2024-25,0.600000,0.402690,5724
prime-radiant-lgbm,2024-25,0.700000,0.473270,5724
prime-radiant-lgbm,2024-25,0.800000,0.564640,5724
prime-radiant-lgbm,2024-25,0.900000,0.654612,5724
prime-radiant-lgbm,2024-25,0.950000,0.737771,5724
prime-radiant-lgbm,2024-25,0.980000,0.803809,5724
prime-radiant-lgbm,2025-26,0.100000,0.125842,5936
prime-radiant-lgbm,2025-26,0.200000,0.191375,5936
prime-radiant-lgbm,2025-26,0.300000,0.257918,5936
prime-radiant-lgbm,2025-26,0.400000,0.329346,5936
prime-radiant-lgbm,2025-26,0.500000,0.397574,5936
prime-radiant-lgbm,2025-26,0.600000,0.475573,5936
prime-radiant-lgbm,2025-26,0.700000,0.560815,5936
prime-radiant-lgbm,2025-26,0.800000,0.648585,5936
prime-radiant-lgbm,2025-26,0.900000,0.746294,5936
prime-radiant-lgbm,2025-26,0.950000,0.818396,5936
prime-radiant-lgbm,2025-26,0.980000,0.879043,5936
