season,model_id,horizon,n,n_relative,truth_as_of,wis,ae_median,wis__log,ae_median__log,wis_scaled_relative_skill,wis_scaled_relative_skill__log,ae_median_scaled_relative_skill,interval_coverage_50,interval_coverage_95
2025-26,UMass-flusion,0,1431,1431,2026-07-09,56.764065,83.627764,0.212890,0.318881,0.627100,0.684057,0.725589,0.384347,0.849057
2025-26,FluSight-ensemble,0,1484,1431,2026-07-09,57.078932,88.876011,0.209307,0.316664,0.606863,0.677846,0.728746,0.569407,0.945418
2025-26,prime-radiant-lgbm,0,1484,1431,2026-07-09,58.403391,82.995283,0.208971,0.305628,0.641499,0.679282,0.713563,0.442049,0.861186
2025-26,prime-radiant-ensemble,0,1484,1431,2026-07-09,70.741796,96.795148,0.234529,0.329124,0.773678,0.763634,0.826824,0.413073,0.908356
2025-26,prime-radiant-baseline,0,1484,1431,2026-07-09,94.814523,121.305256,0.309054,0.398034,0.999999,0.999999,1.000000,0.330863,0.898248
2025-26,FluSight-baseline,0,1484,1431,2026-07-09,94.814583,121.305256,0.309054,0.398034,1.000000,1.000000,1.000000,0.330863,0.898248
2025-26,prime-radiant-lgbm,1,1484,1431,2026-07-09,88.212772,127.997978,0.272785,0.405595,0.574324,0.584656,0.659967,0.419137,0.839623
2025-26,UMass-flusion,1,1431,1431,2026-07-09,89.749932,131.524617,0.282246,0.422927,0.580700,0.597919,0.670532,0.353599,0.827393
2025-26,FluSight-ensemble,1,1484,1431,2026-07-09,102.601175,159.593666,0.297277,0.452212,0.651127,0.634103,0.790741,0.510782,0.905660
2025-26,prime-radiant-ensemble,1,1484,1431,2026-07-09,115.809221,159.928571,0.328114,0.466087,0.746672,0.703242,0.806587,0.480458,0.892183
2025-26,prime-radiant-baseline,1,1484,1431,2026-07-09,159.203582,203.425876,0.468627,0.605522,0.999926,0.999762,1.000000,0.438679,0.871968
2025-26,FluSight-baseline,1,1484,1431,2026-07-09,159.212296,203.425876,0.468737,0.605522,1.000000,1.000000,1.000000,0.437332,0.871968
2025-26,prime-radiant-lgbm,2,1484,1431,2026-07-09,114.426930,166.413073,0.330739,0.499299,0.563680,0.539416,0.636661,0.400943,0.828841
2025-26,UMass-flusion,2,1431,1431,2026-07-09,125.202779,184.830233,0.343879,0.519193,0.612201,0.556361,0.702749,0.336129,0.816911
2025-26,FluSight-ensemble,2,1484,1431,2026-07-09,140.442627,206.658356,0.368321,0.558965,0.680276,0.598586,0.772850,0.508086,0.888140
2025-26,prime-radiant-ensemble,2,1484,1431,2026-07-09,151.214660,210.169811,0.413665,0.591432,0.740478,0.674070,0.796680,0.495283,0.876685
2025-26,FluSight-baseline,2,1484,1431,2026-07-09,208.442904,269.904987,0.614183,0.782980,1.000000,1.000000,1.000000,0.476415,0.851752
2025-26,prime-radiant-baseline,2,1484,1431,2026-07-09,208.480242,269.904987,0.613997,0.782980,1.000203,0.999695,1.000000,0.475741,0.851078
2025-26,prime-radiant-lgbm,3,1484,1431,2026-07-09,153.359896,213.941375,0.424315,0.622384,0.657841,0.582807,0.705286,0.328167,0.743935
2025-26,UMass-flusion,3,1431,1431,2026-07-09,156.346668,223.670807,0.406658,0.616063,0.664547,0.553281,0.732815,0.336129,0.797345
2025-26,FluSight-ensemble,3,1484,1431,2026-07-09,161.488852,236.276280,0.421594,0.637382,0.685771,0.577537,0.770901,0.516846,0.874663
2025-26,prime-radiant-ensemble,3,1484,1431,2026-07-09,185.857408,253.468329,0.510110,0.741459,0.793213,0.699381,0.829719,0.469003,0.840970
2025-26,prime-radiant-baseline,3,1484,1431,2026-07-09,238.086544,311.165768,0.728906,0.940195,0.999719,0.999939,0.999993,0.488544,0.834906
2025-26,FluSight-baseline,3,1484,1431,2026-07-09,238.153748,311.167790,0.728943,0.940672,1.000000,1.000000,1.000000,0.489218,0.834906
2025-26,prime-radiant-lgbm,all,5936,5724,2026-07-09,103.600747,147.836927,0.309202,0.458226,0.608715,0.584716,0.675746,0.397574,0.818396
2025-26,UMass-flusion,all,5724,5724,2026-07-09,107.015861,155.913355,0.311418,0.469266,0.625044,0.583087,0.708990,0.352551,0.822676
2025-26,FluSight-ensemble,all,5936,5724,2026-07-09,115.402896,172.851078,0.324125,0.491306,0.665882,0.610738,0.770384,0.526280,0.903470
2025-26,prime-radiant-ensemble,all,5936,5724,2026-07-09,130.905771,180.090465,0.371604,0.532026,0.764380,0.702271,0.814303,0.464454,0.879549
2025-26,prime-radiant-baseline,all,5936,5724,2026-07-09,175.146223,226.450472,0.530146,0.681683,0.999947,0.999838,0.999998,0.433457,0.864050
2025-26,FluSight-baseline,all,5936,5724,2026-07-09,175.155883,226.450977,0.530229,0.681802,1.000000,1.000000,1.000000,0.433457,0.864218
